i,is_skipped,mu,est_mu,p_loss,est_p_loss,e_b,est_e_b,e_gb,est_e_gb,delay,est_delay,jitter,est_jitter,beta,correlation
1,False,0.2,0.1946190188540362,0.0001,0.000108,2.5,3.176470588235294,20,19.68818292189397,50,49.92849189280434,5,5.300195475932547,0.75987498749875,0.0190152852676179
2,False,0.2,0.19802863440529,0.0001,8.4e-05,2.5,2.333333333333333,20,20.201183431952664,50,49.947134987880005,5,5.28155238085688,0.75987498749875,0.0166450850183616
3,False,0.2,0.1986882399652757,0.0001,0.000122,2.5,3.05,20,20.14847870182556,50,49.95646351893342,5,5.272223849803467,0.75987498749875,0.0199948418536235
4,False,0.2,0.1962924144110987,0.0001,0.000104,2.5,3.25,20,19.833468067906225,50,49.938132926182966,5,5.290554442553919,0.75987498749875,0.0185745240640521
0,False,0.2,0.1973008869028807,0.0001,0.000116,2.5,2.636363636363636,20,19.49002173483501,50,49.59443417166108,10,10.405565828338922,0.75987498749875,0.0237140607987381
1,False,0.2,0.1961076496884719,0.0001,9e-05,2.5,2.647058823529412,20,19.89549512987013,50,49.58327181656548,10,10.416728183434522,0.75987498749875,0.0209443190700077
2,False,0.2,0.2045166775016252,0.0001,0.00015,2.5,3.260869565217391,20,20.21012057718917,50,49.680160886046586,10,10.319839113953414,0.75987498749875,0.0265097297005594
3,False,0.2,0.2000472031154056,0.0001,6.6e-05,2.5,1.736842105263158,20,19.99940011997601,50,49.62252243959667,10,10.377477560403328,0.75987498749875,0.0177913083720256
4,False,0.2,0.198307003612419,0.0001,0.000116,2.5,3.625,20,19.753337318190876,50,49.611519205851856,10,10.388480794148144,0.75987498749875,0.023625928595572
0,False,0.2,0.2028619090861813,0.0001,0.000108,2.5,2.7,20,20.09908838684106,100,101.95047206686196,1,3.5952654068854173,0.75987498749875,-0.0042696238943388
1,False,0.2,0.1961608314398182,0.0001,9.6e-05,2.5,3.0,20,19.816326530612244,100,101.92761724625922,1,3.6181202274881623,0.75987498749875,-0.0039323008226308
2,False,0.2,0.1969433310131291,0.0001,8.8e-05,2.5,2.933333333333333,20,19.462937339395136,100,101.93774141814887,1,3.607996055598505,0.75987498749875,-0.0038081091357173
3,False,0.2,0.2002812298103599,0.0001,0.000106,2.5,2.65,20,19.938271604938272,100,101.94957520369915,1,3.596162270048225,0.75987498749875,-0.0042236661172011
4,False,0.2,0.20004400220011,0.0001,5e-05,2.5,2.272727272727273,20,19.83283759666865,100,101.94088873815755,1,3.604848735589826,0.75987498749875,-0.0028757220882455
0,False,0.2,0.1994279427942794,0.0001,0.0001,2.5,2.272727272727273,20,19.80218470705065,100,100.65992415901046,3,5.977288262231681,0.75987498749875,0.0091911343193074
1,False,0.2,0.1994315272354861,0.0001,0.000128,2.5,2.782608695652174,20,20.20733684637211,100,100.6590861996755,3,5.97812622156664,0.75987498749875,0.0104201279766475
2,False,0.2,0.1939971596023443,0.0001,0.00014,2.5,3.1818181818181817,20,19.6167071197411,100,100.63636740895284,3,6.00084501228929,0.75987498749875,0.0110371319454928
3,False,0.2,0.2035103159284335,0.0001,9e-05,2.5,2.5,20,20.32887112887113,100,100.67864954226872,3,5.958562878973424,0.75987498749875,0.0086268530897514
4,False,0.2,0.2021869399641577,0.0001,6.4e-05,2.5,2.2857142857142856,20,19.809327846364884,100,100.67191116339951,3,5.965301257842626,0.75987498749875,0.0073013530336414
0,False,0.2,0.2003572450128716,0.0001,0.000126,2.5,3.0,20,20.069324784612306,100,100.2140796734422,5,7.514607695294686,0.75987498749875,0.0163053193110607
1,False,0.2,0.2006840684068407,0.0001,0.0001,2.5,3.125,20,19.699980365207143,100,100.22441751490273,5,7.50426985383416,0.75987498749875,0.0144336153992445
2,False,0.2,0.2020566509114112,0.0001,0.000122,2.5,2.3461538461538463,20,20.122709163346613,100,100.22661286567111,5,7.502074503065771,0.75987498749875,0.0159652446180041
3,False,0.2,0.20492709964815,0.0001,0.000142,2.5,2.730769230769231,20,20.298989498712107,100,100.25436673354714,5,7.474320635189741,0.75987498749875,0.01703523535285
4,False,0.2,0.1979217506100732,0.0001,0.00012,2.5,3.1578947368421053,20,19.99777687954729,100,100.20284091432885,5,7.525846454408054,0.75987498749875,0.0159612331895437
0,False,0.2,0.2072604052272677,0.0001,0.000166,2.5,3.32,20,20.428430599369086,100,100.01515086060684,10,10.442223876866931,0.75987498749875,0.0241305003297017
1,False,0.2,0.204671239096475,0.0001,9.4e-05,2.5,2.473684210526316,20,20.262574257425744,100,99.9774200239992,10,10.479954713474584,0.75987498749875,0.0183397998254757
2,False,0.2,0.1962167233071367,0.0001,0.000126,2.5,2.423076923076923,20,19.8856679505372,100,99.87283333873428,10,10.584541398739503,0.75987498749875,0.0217006990198384
3,False,0.2,0.200724911636392,0.0001,0.000154,2.5,2.75,20,19.890386521308223,100,99.94021643601978,10,10.517158301453987,0.75987498749875,0.0236722144334734
4,False,0.2,0.2037651915799243,0.0001,0.000104,2.5,2.736842105263158,20,20.248857086066387,100,99.97022231758464,10,10.487152419889142,0.75987498749875,0.0193062203323755
0,False,0.2,0.1989958795055406,0.0001,0.00012,2.5,3.0,30,29.53859857482185,10,9.98924605269876,1,1.056491421048614,0.75987498749875,0.0186912790304604
1,False,0.2,0.2001124103417514,0.0001,9.2e-05,2.5,2.555555555555556,30,30.09837545126354,10,9.990775615600656,1,1.0549618581467186,0.75987498749875,0.0163127291045534
2,False,0.2,0.1958417505050303,0.0001,6e-05,2.5,1.7647058823529411,30,29.590510728316712,10,9.985209541796827,1,1.0605279319505456,0.75987498749875,0.0133126771740808
3,False,0.2,0.204246833176984,0.0001,0.000102,2.5,2.833333333333333,30,30.49059420722604,10,9.994825429612003,1,1.0509120441353694,0.75987498749875,0.0170357307894615
4,False,0.2,0.2002000200020002,0.0001,0.0001,2.5,2.0,30,29.691486205873627,10,9.990967409523352,1,1.0547700642240212,0.75987498749875,0.0170082697187572
0,False,0.2,0.2057853438223193,0.0001,9.4e-05,2.5,2.9375,30,30.69301909307876,10,9.892760292878677,3,3.107239707121325,0.75987498749875,0.0181243705788123
1,False,0.2,0.1906363010849041,0.0001,9.6e-05,2.5,3.2,30,29.004564820450398,10,9.850808368320616,3,3.1491916316793827,0.75987498749875,0.0187776634112414
2,False,0.2,0.1992147104769943,0.0001,0.000114,2.5,3.1666666666666665,30,30.31841704718417,10,9.872461289160343,3,3.127538710839657,0.75987498749875,0.0201933329086703
3,False,0.2,0.1943875510040803,0.0001,8e-05,2.5,2.1052631578947367,30,29.39685420447671,10,9.86240790964664,3,3.13759209035336,0.75987498749875,0.0170389233348632
4,False,0.2,0.2036996291569822,0.0001,0.000116,2.5,2.4166666666666665,30,30.481293026040102,10,9.88578623993718,3,3.1142137600628192,0.75987498749875,0.0202233932650337
0,False,0.2,0.2010088645673323,0.0001,6.4e-05,2.5,2.2857142857142856,30,30.170519363554487,10,9.852386565784212,5,5.147613434215788,0.75987498749875,0.0154186485754158
1,False,0.2,0.1903833229321684,0.0001,0.000112,2.5,2.5454545454545454,30,29.47692784143698,10,9.793460252901324,5,5.206539747098676,0.75987498749875,0.0208579980889361
2,False,0.2,0.2011058078918836,0.0001,0.000188,2.5,3.2413793103448274,30,29.77021024578028,10,9.852076367124138,5,5.147923632875862,0.75987498749875,0.0264328518442985
3,False,0.2,0.1981613462657847,0.0001,0.000138,2.5,2.76,30,30.37933149340693,10,9.833096654117012,5,5.166903345882988,0.75987498749875,0.0227891873878051
4,False,0.2,0.197149320633422,0.0001,9.8e-05,2.5,2.8823529411764706,30,30.41190990435051,10,9.832021427850512,5,5.167978572149488,0.75987498749875,0.019231887728103
0,False,0.2,0.1960999241907512,0.0001,0.000122,2.5,3.05,30,29.8441400304414,10,9.742779496371725,10,10.257220503628275,0.75987498749875,0.0226261078018063
1,False,0.2,0.2018389728634491,0.0001,9.4e-05,2.5,2.136363636363636,30,29.097462514417533,10,9.809947151240618,10,10.190052848759382,0.75987498749875,0.0196050365490572
2,False,0.2,0.202306704484992,0.0001,0.000132,2.5,2.5384615384615383,30,29.53855140186916,10,9.820318562803282,10,10.179681437196718,0.75987498749875,0.0231574264857773
3,False,0.2,0.1961032570866236,0.0001,8.8e-05,2.5,2.2,30,29.54882459312839,10,9.752675377793308,10,10.247324622206692,0.75987498749875,0.019178273329678
4,False,0.2,0.1992763261852708,0.0001,0.000102,2.5,2.833333333333333,30,29.882423515296946,10,9.785135297947582,10,10.214864702052418,0.75987498749875,0.0205236246205428
0,False,0.2,0.2011696678407347,0.0001,5.8e-05,2.5,1.8125,30,30.664329268292683,25,25.101460663502905,1,1.6942768102444743,0.75987498749875,0.0082465443343623
1,False,0.2,0.1986462619187157,0.0001,0.000102,2.5,2.3181818181818183,30,30.158821743091405,25,25.097178811259635,1,1.698558662487745,0.75987498749875,0.0110284407161808
2,False,0.2,0.1968048293602058,0.0001,0.000116,2.5,2.9,30,29.87883389006985,25,25.09448783860662,1,1.7012496351407584,0.75987498749875,0.0118211056537885
3,False,0.2,0.2101083884542994,0.0001,7.8e-05,2.5,2.294117647058824,30,30.796247434769864,25,25.11864413295227,1,1.6770933407951103,0.75987498749875,0.0092480613327105
4,False,0.2,0.2124890737106978,0.0001,0.000118,2.5,2.565217391304348,30,31.189665296535527,25,25.12309129781465,1,1.67264617593273,0.75987498749875,0.0112786461379238
0,False,0.2,0.1962521676343933,0.0001,6.2e-05,2.5,2.2142857142857144,30,29.58094663852879,25,24.809772165008976,3,3.190227834991024,0.75987498749875,0.0165886290824949
1,False,0.2,0.202563420454159,0.0001,8.6e-05,2.5,3.909090909090909,30,30.68878787878788,25,24.835801718209247,3,3.164198281790753,0.75987498749875,0.0193080397821952
2,False,0.2,0.2000260044207515,0.0001,0.00017,2.5,3.1481481481481484,30,29.264266900790165,25,24.8242423237581,3,3.1757576762419006,0.75987498749875,0.0272961342299118
3,False,0.2,0.2026592627117118,0.0001,0.000174,2.5,3.107142857142857,30,30.424024024024025,25,24.83438198778356,3,3.165618012216441,0.75987498749875,0.0274107785690889
4,False,0.2,0.2052221639937113,0.0001,0.000108,2.5,2.25,30,30.301240401653867,25,24.84088381085115,3,3.1591161891488504,0.75987498749875,0.0215239074013664
0,False,0.2,0.2055355971259861,0.0001,0.000144,2.5,2.6666666666666665,30,30.89386650631389,25,24.813968980098068,5,5.186031019901932,0.75987498749875,0.0243515577770727
1,False,0.2,0.1992271103448,0.0001,0.000116,2.5,2.230769230769231,30,29.43321513002364,25,24.782601855161666,5,5.217398144838334,0.75987498749875,0.0221047233068877
2,False,0.2,0.1994675584695606,0.0001,7.8e-05,2.5,1.95,30,30.119601328903656,25,24.783726014438574,5,5.216273985561422,0.75987498749875,0.0181266698308663
3,False,0.2,0.1972281727101622,0.0001,8.2e-05,2.5,2.5625,30,29.889663534404367,25,24.77272021751121,5,5.227279782488786,0.75987498749875,0.0186423442416239
4,False,0.2,0.2019157111112444,0.0001,5.8e-05,2.5,2.4166666666666665,30,29.92056905749852,25,24.79571666919725,5,5.204283330802749,0.75987498749875,0.0155544934004466
0,False,0.2,0.2056074392480743,0.0001,0.000114,2.5,2.4782608695652173,30,30.739234449760765,25,24.78513749985426,10,10.214862500145738,0.75987498749875,0.0220095604896806
1,False,0.2,0.2009116893455558,0.0001,9.8e-05,2.5,2.45,30,29.823634204275532,25,24.731629716423825,10,10.268370283576177,0.75987498749875,0.0206343174292395
2,False,0.2,0.196256840656703,0.0001,9.6e-05,2.5,2.526315789473684,30,29.859707851491176,25,24.685794979088445,10,10.314205020911556,0.75987498749875,0.0206311723848946
3,False,0.2,0.1976349729574039,0.0001,9.6e-05,2.5,2.6666666666666665,30,30.087697929354444,25,24.698101679840377,10,10.301898320159625,0.75987498749875,0.0205645272963317
4,False,0.2,0.1965796579657965,0.0001,0.0001,2.5,2.380952380952381,30,29.845126024901305,25,24.68744357248002,10,10.31255642751998,0.75987498749875,0.0210543785348657
0,False,0.2,0.2000800128020483,0.0001,0.00016,2.5,3.333333333333333,30,30.01020102010201,50,50.81335876522512,1,2.232378708522255,0.75987498749875,0.0019822347756253
1,False,0.2,0.1975854116621096,0.0001,7.8e-05,2.5,2.4375,30,29.980273141122915,50,50.80813117524014,1,2.237606298507231,0.75987498749875,0.0014228269498948
2,False,0.2,0.1999743976445833,0.0001,9.2e-05,2.5,2.555555555555556,30,30.068571428571428,50,50.8148096699646,1,2.2309278037827767,0.75987498749875,0.0014917209952615
3,False,0.2,0.2039710541474654,0.0001,6.4e-05,2.5,2.0,30,30.296791443850267,50,50.82148811646725,1,2.2242493572801223,0.75987498749875,0.0011911894404089
4,False,0.2,0.199547968357785,0.0001,7e-05,2.5,1.75,30,29.49940863394441,50,50.81423174278014,1,2.2315057309672355,0.75987498749875,0.0013036192934297
0,False,0.2,0.1924012352592924,0.0001,4.8e-05,2.5,1.5,30,29.345942647956072,50,50.05839278836209,3,4.078819632880034,0.75987498749875,0.010665510394223
1,False,0.2,0.2006264701646584,0.0001,0.000112,2.5,2.333333333333333,30,30.12072072072072,50,50.09231183717712,3,4.044900584065012,0.75987498749875,0.0159331684084005
2,False,0.2,0.2036912207991711,0.0001,0.000114,2.5,2.4782608695652173,30,30.544091181763648,50,50.109760951402976,3,4.02745146983915,0.75987498749875,0.0159047133065103
3,False,0.2,0.2022326500568063,0.0001,0.000112,2.5,2.8,30,30.207648640573648,50,50.10089104118273,3,4.036321380059398,0.75987498749875,0.0158455443288898
4,False,0.2,0.2016438761711967,0.0001,0.000168,2.5,3.652173913043478,30,30.172104160431008,50,50.0985906148167,3,4.038621806425425,0.75987498749875,0.0194547783564816
0,False,0.2,0.1951762983350268,0.0001,0.000104,2.5,2.260869565217391,30,29.39096385542169,50,49.932718640072345,5,5.2959687286645405,0.75987498749875,0.0186049133389607
1,False,0.2,0.1969457862050343,0.0001,7e-05,2.5,2.333333333333333,30,30.06595419847328,50,49.938888294654255,5,5.28979907408263,0.75987498749875,0.0152509464856825
2,False,0.2,0.2031695676698497,0.0001,0.000116,2.5,2.761904761904762,30,30.2030924769551,50,49.977728951033946,5,5.25095841770294,0.75987498749875,0.0192931500487642
3,False,0.2,0.1999195929241773,0.0001,8.8e-05,2.5,2.095238095238096,30,29.667853962600176,50,49.959874210366245,5,5.268813158370641,0.75987498749875,0.016938026171914
4,False,0.2,0.2060497807789547,0.0001,9.6e-05,2.5,2.4,30,30.870542403356307,50,49.9962759557388,5,5.23241141299809,0.75987498749875,0.0174495127484636
0,False,0.2,0.1985530032084363,0.0001,0.000136,2.5,2.9565217391304346,30,29.53376971139542,50,49.61516521275404,10,10.384834787245955,0.75987498749875,0.0255849597080285
1,False,0.2,0.203056711784602,0.0001,0.000102,2.5,2.6842105263157894,30,30.04379994081089,50,49.65098182325151,10,10.349018176748494,0.75987498749875,0.0219645790718415
2,False,0.2,0.203790416945864,0.0001,0.00011,2.5,2.5,30,29.29384703852789,50,49.66553121567194,10,10.33446878432806,0.75987498749875,0.0227489040341498
3,False,0.2,0.1993103227561486,0.0001,0.000112,2.5,2.24,30,29.923123123123123,50,49.623979825394805,10,10.376020174605197,0.75987498749875,0.0231822419294953
4,False,0.2,0.195271041982954,0.0001,0.000118,2.5,2.458333333333333,30,29.502568751888788,50,49.58582991712882,10,10.41417008287118,0.75987498749875,0.0240174487122046
0,False,0.2,0.1925463229646697,0.0001,6.4e-05,2.5,2.2857142857142856,30,29.620615384615384,100,101.92565988243923,1,3.6200775913081458,0.75987498749875,-0.0032083976884482
1,False,0.2,0.2000856126706752,0.0001,0.000148,2.5,3.523809523809524,30,29.91267942583732,100,101.94587074648928,1,3.599866727258103,0.75987498749875,-0.0049708445143151
2,False,0.2,0.2037175197066947,0.0001,8.6e-05,2.5,2.263157894736842,30,29.87679671457905,100,101.95498882175572,1,3.5907486519916603,0.75987498749875,-0.0038209442801456
3,False,0.2,0.1993855213467323,0.0001,0.000128,2.5,2.4615384615384617,30,29.395458566794456,100,101.94298883166122,1,3.602748642086155,0.75987498749875,-0.004613385603039
4,False,0.2,0.1978918313465077,0.0001,8e-05,2.5,3.076923076923077,30,30.04494382022472,100,101.94249396661272,1,3.60324350713465,0.75987498749875,-0.0036396427653416
0,False,0.2,0.202791579654833,0.0001,0.000136,2.5,2.6153846153846154,30,30.63825929283772,100,100.67945224016714,3,5.9577601810750025,0.75987498749875,0.0105880298945524
1,False,0.2,0.1999239908789054,0.0001,0.00012,2.5,2.608695652173913,30,29.74702380952381,100,100.65982991067212,3,5.977382510570024,0.75987498749875,0.0100767459700608
2,False,0.2,0.2041607411807768,0.0001,8.2e-05,2.5,2.411764705882353,30,30.37857142857143,100,100.69156401803768,3,5.945648403204473,0.75987498749875,0.0081486988637298
3,False,0.2,0.1963167359087245,0.0001,0.000126,2.5,2.333333333333333,30,28.93455188679245,100,100.6474735570146,3,5.989738864227547,0.75987498749875,0.0103982527997081
4,False,0.2,0.1969810007460492,0.0001,6.6e-05,2.5,2.2,30,29.69963811821472,100,100.64708334692465,3,5.990129074317494,0.75987498749875,0.007549640354221
0,False,0.2,0.1935574201678151,0.0001,9e-05,2.5,2.5,30,28.75780089153046,100,100.16975967444392,5,7.5589276942929615,0.75987498749875,0.0140368227915128
1,False,0.2,0.1991883253259299,0.0001,9.2e-05,2.5,2.3,30,30.41692119731216,100,100.21145307705709,5,7.517234291679813,0.75987498749875,0.0139442726476705
2,False,0.2,0.1991967164585117,0.0001,0.000104,2.5,2.260869565217391,30,29.924278846153847,100,100.20277760896282,5,7.525909759774066,0.75987498749875,0.0148882345705772
3,False,0.2,0.2042796108426409,0.0001,9.6e-05,2.5,2.823529411764706,30,30.135733254647388,100,100.2508259790106,5,7.4778613897263,0.75987498749875,0.0140224848585509
4,False,0.2,0.2014140848450907,0.0001,6e-05,2.5,2.3076923076923075,30,30.441656590084644,100,100.22655319472491,5,7.502134174011971,0.75987498749875,0.0111983204783086
0,False,0.2,0.2037841600556882,0.0001,0.000148,2.5,2.96,30,30.185777777777776,100,99.97454231811206,10,10.482832419361714,0.75987498749875,0.0230498627882761
1,False,0.2,0.2018729947914583,0.0001,0.000104,2.5,2.260869565217391,30,30.53736762481089,100,99.94739122170634,10,10.50998351576743,0.75987498749875,0.0194068488555317
2,False,0.2,0.1999955994807387,0.0001,0.000118,2.5,2.458333333333333,30,30.198127453941407,100,99.9276233447492,10,10.529751392724576,0.75987498749875,0.020749558928013
3,False,0.2,0.2013073124288688,0.0001,8.6e-05,2.5,2.6875,30,29.856125778700683,100,99.9416849887679,10,10.515689748705867,0.75987498749875,0.0176879562621453
4,False,0.2,0.2035795794354201,0.0001,0.000106,2.5,2.65,30,30.59182446648632,100,99.96339903961332,10,10.49397569786045,0.75987498749875,0.019524112761742
0,False,0.2,0.1973513139419057,0.0001,0.000108,2.5,2.347826086956522,40,39.945344129554655,10,9.987098139628554,1,1.058639334118821,0.75987498749875,0.0177799440196544
